,,,,,
,שם הציוד,כמות,מחזיק בציוד,החל מתאריך,הערות
,מד מומנט 700,1,משרד (maor.menachem@oficiency.com),,לבצע בדיקת כיול בסוף 2026
,מד עובי דופן (בתוך תיק כחול),1,משרד (maor.menachem@oficiency.com),13/04/2026,
,מד עובי צבע (בתוך תיק כחול),1,משרד (maor.menachem@oficiency.com),13/04/2026,
,מד לחץ דיגיטלי 10 בר הברגה רבע,1,משרד (maor.menachem@oficiency.com),,
,מד לחץ 1 BAR הברגה חצי,2,משרד (maor.menachem@oficiency.com),,
,מד לחץ 15 BAR הברגה חצי,1,משרד (maor.menachem@oficiency.com),,
,מד לחץ 40 BAR הברגה חצי,2,משרד (maor.menachem@oficiency.com),,
,מד לחץ 6 BAR הברגה חצי,2,משרד (maor.menachem@oficiency.com),,
,מד לחץ 100 BAR מקליט הברגה חצי,1,משרד (maor.menachem@oficiency.com),,
,מד לחץ 100 BAR הברגה חצי,1,משרד (maor.menachem@oficiency.com),,
,מד לחץ 25 BAR הברגה חצי,1,משרד (maor.menachem@oficiency.com),,
,מד לחץ 0.6 BAR הברגה חצי,1,משרד (maor.menachem@oficiency.com),,
,מד לחץ 160 BAR הברגה חצי,2,משרד (maor.menachem@oficiency.com),,
,מד לחץ 1 BAR הברגה רבע,2,משרד (maor.menachem@oficiency.com),,
,מד לחץ 4 BAR הברגה רבע,1,משרד (maor.menachem@oficiency.com),,
,מד לחץ 400 BAR הברגה רבע,1,משרד (maor.menachem@oficiency.com),,
,"מוטות הברגה 18 מ""מ",4,משרד (maor.menachem@oficiency.com),,
,מומנט ארוך,1,משרד (maor.menachem@oficiency.com),,
,מומנט קצר,2,אופיר (ofir.yahalom@oficiency.com),22/03/2026,אחד ברכב אצל אופיר ואחד במשרד
,מטען סוללות מקיטה,1,משרד (maor.menachem@oficiency.com),,
,מכופף צינורות 1/2,1,משרד (maor.menachem@oficiency.com),,
,מכופף צנרת נירוסטה,1,משרד (maor.menachem@oficiency.com),,
,מערכת חינקון המלט מלאה,1,משרד (maor.menachem@oficiency.com),,
,מסכות אבק,קיים,משרד (maor.menachem@oficiency.com),,
,"מעבר קוטר 6"" ל- 3""",1,משרד (maor.menachem@oficiency.com),,
,"מעבר 1"" ל-3/4",1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 60,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 55,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 38,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 36,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 34,3,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 32,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 24,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 20,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 17,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 15,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 14,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח-סגור 1-5/8,1,משרד (maor.menachem@oficiency.com),,
,"מפתח פתוח 31, 46",1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח 17/19,1,משרד (maor.menachem@oficiency.com),,
,"מפתח פתוח 3/4, 7/8",1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח 15/16,3,משרד (maor.menachem@oficiency.com),,
,מפתח סגור גדום 32,2,משרד (maor.menachem@oficiency.com),,
,מפתח סגור גדום 41,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח גדום 55,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח גדום 50,1,משרד (maor.menachem@oficiency.com),,
,מפתח פתוח גדום 41,1,משרד (maor.menachem@oficiency.com),,
,מפתח צינורות,1,משרד (maor.menachem@oficiency.com),,
,מסקינטייפ,1,משרד (maor.menachem@oficiency.com),,
,משדר טמפרטורה דיגיטלי - הברגה חצי,1,משרד (maor.menachem@oficiency.com),,
,משדר טמפרטורה מקומי - הברגה חצי,1,משרד (maor.menachem@oficiency.com),,
,מתאם שוודי פתוח 30,1,משרד (maor.menachem@oficiency.com),,
,מתאם שוודי פתוח 32,1,משרד (maor.menachem@oficiency.com),,
,מתאם שוודי פתוח 34,1,משרד (maor.menachem@oficiency.com),,
,מתאם שוודי פתוח 36,1,משרד (maor.menachem@oficiency.com),,
,מתאם שוודי פתוח 41,1,משרד (maor.menachem@oficiency.com),,
,מתאם שוודי פתוח 46,1,משרד (maor.menachem@oficiency.com),,
,סבון גריז,1,משרד (maor.menachem@oficiency.com),,
,סט ביטים,1,רפי (rafi.yarhi@oficiency.com),,
,סמרטוטים,קיים,משרד (maor.menachem@oficiency.com),,
,ספירט,2,משרד (maor.menachem@oficiency.com),,
,ספריי אדום ,1,משרד (maor.menachem@oficiency.com),,
,ספריי צהוב,2,משרד (maor.menachem@oficiency.com),,
,ספריי מסיר צבע,1,משרד (maor.menachem@oficiency.com),,
,ספריי הגנה מחלודה,2,משרד (maor.menachem@oficiency.com),,
,עגלה,1,משרד (maor.menachem@oficiency.com),,
,ערכת ראצ'ט,1,משרד (maor.menachem@oficiency.com),,
,ערכת ראצ'ט,1,משרד (maor.menachem@oficiency.com),,
,פלוק,2,משרד (maor.menachem@oficiency.com),,
,פלוק מכויל,1,משרד (maor.menachem@oficiency.com),,"נמצא בחדר של רוסלן, כיול הבא ב- 12/11/26"
,"פלנצ' עיוור 4""",2,משרד (maor.menachem@oficiency.com),,
,"פלנצ' עיוור 5""",2,משרד (maor.menachem@oficiency.com),,
,"פלנצ' 6""",2,משרד (maor.menachem@oficiency.com),,
,"פלנצ' 8""",1,משרד (maor.menachem@oficiency.com),,
,פלס דיגיטלי,1,משרד (maor.menachem@oficiency.com),,
,צבע נירוקריל לבן,1,משרד (maor.menachem@oficiency.com),,
,צבע סופרקריל פסטל,1,משרד (maor.menachem@oficiency.com),,
,צבע למתכת בצבע כסף (המרטון),2,משרד (maor.menachem@oficiency.com),,
,"צינורות נירוסטה 1/2""",1,משרד (maor.menachem@oficiency.com),,
,קליבר,1,משרד (maor.menachem@oficiency.com),,נמצא בארגז כלים המוכן
,קליבר מכויל,1,משרד (maor.menachem@oficiency.com),,"נמצא בחדר של רוסלן, כיול הבא ב- 28/05/26"
,קסדה,2,משרד (maor.menachem@oficiency.com),,
,"קלאס 150 1/2""",קיים,משרד (maor.menachem@oficiency.com),,
,ראצ'ט 3/4,1,משרד (maor.menachem@oficiency.com),,
,רתמה,1,משרד (maor.menachem@oficiency.com),,
,שק פחם,1,משרד (maor.menachem@oficiency.com),,
,"ANSI 2""",קיים,משרד (maor.menachem@oficiency.com),,
,"ANSI 3/4""",קיים,משרד (maor.menachem@oficiency.com),,
,"ANSI 1/2""",1,משרד (maor.menachem@oficiency.com),,
,"ANSI 1""",קיים,משרד (maor.menachem@oficiency.com),,
,"ASME 1""",קיים,משרד (maor.menachem@oficiency.com),,
,"ASME 3""",קיים,משרד (maor.menachem@oficiency.com),,
,"ASME 1.5""",קיים,משרד (maor.menachem@oficiency.com),,
,"ASME 2""",קיים,משרד (maor.menachem@oficiency.com),,
,"ASME 4""",קיים,משרד (maor.menachem@oficiency.com),,
,"ASME 6""",קיים,משרד (maor.menachem@oficiency.com),,
,Klingersil,קיים,משרד (maor.menachem@oficiency.com),,
,FB FS NPT 1/2 TG-446,2,משרד (maor.menachem@oficiency.com),,
,WD-40,4,משרד (maor.menachem@oficiency.com),,
